,date,state,fips,cases,deaths
461,2020-03-10,Georgia,13,22,0
1839,2020-04-05,Georgia,13,6742,219
2994,2020-04-26,Georgia,13,22459,907
5744,2020-06-15,Georgia,13,55505,2457
967,2020-03-20,Georgia,13,482,14
7284,2020-07-13,Georgia,13,111937,2972
7339,2020-07-14,Georgia,13,114579,2996
5139,2020-06-04,Georgia,13,47528,2116
3049,2020-04-27,Georgia,13,23229,981
1237,2020-03-25,Georgia,13,1385,47
7394,2020-07-15,Georgia,13,118147,3030
7229,2020-07-12,Georgia,13,108389,2951
2939,2020-04-25,Georgia,13,22225,897
3104,2020-04-28,Georgia,13,23607,1022
389,2020-03-08,Georgia,13,11,0
4864,2020-05-30,Georgia,13,44336,1973
5194,2020-06-05,Georgia,13,48280,2143
1949,2020-04-07,Georgia,13,9156,348
1784,2020-04-04,Georgia,13,6383,208
326,2020-03-06,Georgia,13,3,0
7779,2020-07-22,Georgia,13,139120,3264
1345,2020-03-27,Georgia,13,2198,64
1021,2020-03-21,Georgia,13,552,20
4424,2020-05-22,Georgia,13,39734,1779
2664,2020-04-20,Georgia,13,18447,767
6954,2020-07-07,Georgia,13,93707,2850
5524,2020-06-11,Georgia,13,52332,2337
3874,2020-05-12,Georgia,13,33311,1470
5964,2020-06-19,Georgia,13,59117,2596
3214,2020-04-30,Georgia,13,25431,1121
2719,2020-04-21,Georgia,13,19189,810
7009,2020-07-08,Georgia,13,96538,2871
5579,2020-06-12,Georgia,13,53201,2384
7559,2020-07-18,Georgia,13,128341,3105
4589,2020-05-25,Georgia,13,41414,1820
7119,2020-07-10,Georgia,13,103597,2915
7614,2020-07-19,Georgia,13,130794,3110
5634,2020-06-13,Georgia,13,54178,2411
3929,2020-05-13,Georgia,13,33866,1494
2774,2020-04-22,Georgia,13,20099,837
7064,2020-07-09,Georgia,13,98693,2880
913,2020-03-19,Georgia,13,282,10
4094,2020-05-16,Georgia,13,35655,1573
4974,2020-06-01,Georgia,13,45757,2057
4534,2020-05-24,Georgia,13,40989,1799
7669,2020-07-20,Georgia,13,132788,3113
3159,2020-04-29,Georgia,13,24300,1086
5909,2020-06-18,Georgia,13,58040,2565
355,2020-03-07,Georgia,13,7,0
7724,2020-07-21,Georgia,13,135865,3186
6899,2020-07-06,Georgia,13,91015,2829
548,2020-03-12,Georgia,13,31,1
3324,2020-05-02,Georgia,13,27268,1161
6514,2020-06-29,Georgia,13,74816,2739
4314,2020-05-20,Georgia,13,38162,1672
5304,2020-06-07,Georgia,13,49371,2148
3434,2020-05-04,Georgia,13,28350,1228
4644,2020-05-26,Georgia,13,42066,1867
6074,2020-06-21,Georgia,13,61493,2603
8219,2020-07-30,Georgia,13,167545,3596
752,2020-03-16,Georgia,13,118,1
1183,2020-03-24,Georgia,13,1095,38
6624,2020-07-01,Georgia,13,79589,2779
5414,2020-06-09,Georgia,13,50769,2250
4369,2020-05-21,Georgia,13,38969,1749
3709,2020-05-09,Georgia,13,31481,1380
8164,2020-07-29,Georgia,13,163547,3566
5084,2020-06-03,Georgia,13,46711,2092
6349,2020-06-26,Georgia,13,69542,2727
6679,2020-07-02,Georgia,13,82475,2801
2444,2020-04-16,Georgia,13,15644,611
2004,2020-04-08,Georgia,13,10204,370
3599,2020-05-07,Georgia,13,30524,1332
859,2020-03-18,Georgia,13,193,3
8494,2020-08-04,Georgia,13,182462,3835
2224,2020-04-12,Georgia,13,12103,438
6404,2020-06-27,Georgia,13,71066,2733
4699,2020-05-27,Georgia,13,42713,1904
5029,2020-06-02,Georgia,13,46063,2070
3489,2020-05-05,Georgia,13,28876,1277
8384,2020-08-02,Georgia,13,177556,3758
8329,2020-08-01,Georgia,13,174834,3744
5359,2020-06-08,Georgia,13,49995,2176
3764,2020-05-10,Georgia,13,32267,1383
4259,2020-05-19,Georgia,13,37214,1650
4479,2020-05-23,Georgia,13,40408,1794
2059,2020-04-09,Georgia,13,10885,412
2334,2020-04-14,Georgia,13,13913,517
1291,2020-03-26,Georgia,13,1641,56
699,2020-03-15,Georgia,13,97,1
6129,2020-06-22,Georgia,13,62705,2607
2389,2020-04-15,Georgia,13,14583,569
1075,2020-03-22,Georgia,13,620,25
6184,2020-06-23,Georgia,13,64577,2646
8439,2020-08-03,Georgia,13,179510,3760
6459,2020-06-28,Georgia,13,72800,2735
1399,2020-03-28,Georgia,13,2447,79
2279,2020-04-13,Georgia,13,13125,479
6569,2020-06-30,Georgia,13,77280,2758
8274,2020-07-31,Georgia,13,171342,3674
3544,2020-05-06,Georgia,13,29724,1309
4754,2020-05-28,Georgia,13,43363,1942
1674,2020-04-02,Georgia,13,5444,176
5249,2020-06-06,Georgia,13,48943,2147
8109,2020-07-28,Georgia,13,160038,3488
3379,2020-05-03,Georgia,13,27618,1168
805,2020-03-17,Georgia,13,142,1
6239,2020-06-24,Georgia,13,66290,2658
1129,2020-03-23,Georgia,13,800,25
8054,2020-07-27,Georgia,13,155907,3435
6294,2020-06-25,Georgia,13,67796,2704
3654,2020-05-08,Georgia,13,31089,1378
2499,2020-04-17,Georgia,13,16658,661
647,2020-03-14,Georgia,13,65,1
1729,2020-04-03,Georgia,13,5967,198
4204,2020-05-18,Georgia,13,36634,1624
1619,2020-04-01,Georgia,13,4747,154
1454,2020-03-29,Georgia,13,2683,83
2169,2020-04-11,Georgia,13,12261,432
3819,2020-05-11,Georgia,13,32448,1420
5469,2020-06-10,Georgia,13,51465,2292
6734,2020-07-03,Georgia,13,85079,2808
2114,2020-04-10,Georgia,13,11859,425
1292,2020-03-26,Guam,66,49,1
7285,2020-07-13,Guam,66,1281,6
3545,2020-05-06,Guam,66,1118,6
4535,2020-05-24,Guam,66,1135,6
2280,2020-04-13,Guam,66,719,6
3105,2020-04-28,Guam,66,1114,6
1620,2020-04-01,Guam,66,147,3
5635,2020-06-13,Guam,66,1154,6
7340,2020-07-14,Guam,66,1281,6
1840,2020-04-05,Guam,66,265,4
1400,2020-03-28,Guam,66,57,1
1238,2020-03-25,Guam,66,32,1
5360,2020-06-08,Guam,66,1149,6
914,2020-03-19,Guam,66,12,0
6460,2020-06-28,Guam,66,1217,6
6240,2020-06-24,Guam,66,1200,6
2775,2020-04-22,Guam,66,911,6
7615,2020-07-19,Guam,66,1284,6
2995,2020-04-26,Guam,66,997,6
8385,2020-08-02,Guam,66,1328,6
2115,2020-04-10,Guam,66,577,4
1675,2020-04-02,Guam,66,152,3
7065,2020-07-09,Guam,66,1278,6
4590,2020-05-25,Guam,66,1135,6
5745,2020-06-15,Guam,66,1155,6
7120,2020-07-10,Guam,66,1279,6
3930,2020-05-13,Guam,66,1121,6
2060,2020-04-09,Guam,66,542,4
5855,2020-06-17,Guam,66,1157,6
7560,2020-07-18,Guam,66,1284,6
968,2020-03-20,Guam,66,14,0
5140,2020-06-04,Guam,66,1148,6
6295,2020-06-25,Guam,66,1214,6
1895,2020-04-06,Guam,66,266,4
2225,2020-04-12,Guam,66,716,5
8495,2020-08-04,Guam,66,1344,6
4315,2020-05-20,Guam,66,1134,6
3600,2020-05-07,Guam,66,1118,6
2885,2020-04-24,Guam,66,997,6
6350,2020-06-26,Guam,66,1217,6
5800,2020-06-16,Guam,66,1155,6
7395,2020-07-15,Guam,66,1282,6
1510,2020-03-30,Guam,66,60,1
5250,2020-06-06,Guam,66,1148,6
7450,2020-07-16,Guam,66,1283,6
3710,2020-05-09,Guam,66,1120,6
3050,2020-04-27,Guam,66,1113,6
7230,2020-07-12,Guam,66,1281,6
8440,2020-08-03,Guam,66,1337,6
2170,2020-04-11,Guam,66,681,5
6185,2020-06-23,Guam,66,1194,6
4700,2020-05-27,Guam,66,1140,6
1184,2020-03-24,Guam,66,32,1
2830,2020-04-23,Guam,66,979,6
3655,2020-05-08,Guam,66,1120,6
6405,2020-06-27,Guam,66,1217,6
5690,2020-06-14,Guam,66,1154,6
2940,2020-04-25,Guam,66,997,6
753,2020-03-16,Guam,66,3,0
7175,2020-07-11,Guam,66,1281,6
7505,2020-07-17,Guam,66,1283,6
5305,2020-06-07,Guam,66,1148,6
4920,2020-05-31,Guam,66,1144,6
4040,2020-05-15,Guam,66,1123,6
806,2020-03-17,Guam,66,3,0
5030,2020-06-02,Guam,66,1146,6
6515,2020-06-29,Guam,66,1224,6
5415,2020-06-09,Guam,66,1149,6
860,2020-03-18,Guam,66,8,0
5965,2020-06-19,Guam,66,1169,6
2005,2020-04-08,Guam,66,409,4
7835,2020-07-23,Guam,66,1301,6
2445,2020-04-16,Guam,66,790,6
6680,2020-07-02,Guam,66,1249,6
4150,2020-05-17,Guam,66,1123,6
8165,2020-07-29,Guam,66,1320,6
4425,2020-05-22,Guam,66,1134,6
5085,2020-06-03,Guam,66,1146,6
3270,2020-05-01,Guam,66,1115,6
6900,2020-07-06,Guam,66,1270,6
6625,2020-07-01,Guam,66,1240,6
8220,2020-07-30,Guam,66,1323,6
3215,2020-04-30,Guam,66,1115,6
6075,2020-06-21,Guam,66,1191,6
6955,2020-07-07,Guam,66,1272,6
2665,2020-04-20,Guam,66,811,6
3435,2020-05-04,Guam,66,1118,6
1950,2020-04-07,Guam,66,274,4
5525,2020-06-11,Guam,66,1152,6
3875,2020-05-12,Guam,66,1121,6
4645,2020-05-26,Guam,66,1139,6
1022,2020-03-21,Guam,66,15,0
2610,2020-04-19,Guam,66,808,6
3820,2020-05-11,Guam,66,1120,6
8000,2020-07-26,Guam,66,1306,6
6790,2020-07-04,Guam,66,1257,6
6020,2020-06-20,Guam,66,1191,6
2555,2020-04-18,Guam,66,805,6
8055,2020-07-27,Guam,66,1315,6
3325,2020-05-02,Guam,66,1117,6
4810,2020-05-29,Guam,66,1141,6
1455,2020-03-29,Guam,66,58,1
4975,2020-06-01,Guam,66,1144,6
6735,2020-07-03,Guam,66,1255,6
4205,2020-05-18,Guam,66,1123,6
1730,2020-04-03,Guam,66,154,4
2500,2020-04-17,Guam,66,796,6
7890,2020-07-24,Guam,66,1306,6
1565,2020-03-31,Guam,66,139,2
3380,2020-05-03,Guam,66,1118,6
8110,2020-07-28,Guam,66,1318,6
6845,2020-07-05,Guam,66,1257,6
7945,2020-07-25,Guam,66,1306,6
4370,2020-05-21,Guam,66,1134,6
5470,2020-06-10,Guam,66,1149,6
3985,2020-05-14,Guam,66,1121,6
4755,2020-05-28,Guam,66,1141,6
1076,2020-03-22,Guam,66,27,1
1785,2020-04-04,Guam,66,223,4
8330,2020-08-01,Guam,66,1328,6
2720,2020-04-21,Guam,66,852,6
7725,2020-07-21,Guam,66,1296,6
5195,2020-06-05,Guam,66,1148,6
4480,2020-05-23,Guam,66,1134,6
6570,2020-06-30,Guam,66,1228,6
3765,2020-05-10,Guam,66,1120,6
3490,2020-05-05,Guam,66,1118,6
4865,2020-05-30,Guam,66,1141,6
4260,2020-05-19,Guam,66,1123,6
8275,2020-07-31,Guam,66,1325,6
1346,2020-03-27,Guam,66,53,1
1130,2020-03-23,Guam,66,29,1
700,2020-03-15,Guam,66,3,0
4095,2020-05-16,Guam,66,1123,6
7010,2020-07-08,Guam,66,1276,6
5580,2020-06-12,Guam,66,1153,6
7780,2020-07-22,Guam,66,1299,6
5910,2020-06-18,Guam,66,1162,6
7670,2020-07-20,Guam,66,1288,6
3160,2020-04-29,Guam,66,1114,6
6130,2020-06-22,Guam,66,1191,6
2390,2020-04-15,Guam,66,750,6
2335,2020-04-14,Guam,66,721,6
5911,2020-06-18,Hawaii,15,750,17
4426,2020-05-22,Hawaii,15,632,17
6296,2020-06-25,Hawaii,15,836,17
3766,2020-05-10,Hawaii,15,621,17
7011,2020-07-08,Hawaii,15,1076,19
3491,2020-05-05,Hawaii,15,615,17
6406,2020-06-27,Hawaii,15,856,18
6791,2020-07-04,Hawaii,15,981,19
1841,2020-04-05,Hawaii,15,369,4
6736,2020-07-03,Hawaii,15,957,19
549,2020-03-12,Hawaii,15,2,0
1621,2020-04-01,Hawaii,15,258,1
6241,2020-06-24,Hawaii,15,821,17
1676,2020-04-02,Hawaii,15,283,2
6516,2020-06-29,Hawaii,15,884,18
3326,2020-05-02,Hawaii,15,611,16
4536,2020-05-24,Hawaii,15,633,17
3161,2020-04-29,Hawaii,15,605,16
2996,2020-04-26,Hawaii,15,599,14
4976,2020-06-01,Hawaii,15,642,17
5746,2020-06-15,Hawaii,15,724,17
7286,2020-07-13,Hawaii,15,1222,21
6021,2020-06-20,Hawaii,15,791,17
5086,2020-06-03,Hawaii,15,643,17
7066,2020-07-09,Hawaii,15,1112,19
915,2020-03-19,Hawaii,15,26,0
3656,2020-05-08,Hawaii,15,619,17
462,2020-03-10,Hawaii,15,2,0
1239,2020-03-25,Hawaii,15,95,0
1731,2020-04-03,Hawaii,15,317,3
4481,2020-05-23,Hawaii,15,633,17
648,2020-03-14,Hawaii,15,4,0
6846,2020-07-05,Hawaii,15,1005,19
701,2020-03-15,Hawaii,15,7,0
7231,2020-07-12,Hawaii,15,1201,19
6461,2020-06-28,Hawaii,15,883,18
1786,2020-04-04,Hawaii,15,349,3
6901,2020-07-06,Hawaii,15,1012,19
1185,2020-03-24,Hawaii,15,90,0
6131,2020-06-22,Hawaii,15,804,17
3876,2020-05-12,Hawaii,15,624,17
4921,2020-05-31,Hawaii,15,642,17
3436,2020-05-04,Hawaii,15,612,17
6571,2020-06-30,Hawaii,15,901,18
7176,2020-07-11,Hawaii,15,1181,19
6956,2020-07-07,Hawaii,15,1053,19
503,2020-03-11,Hawaii,15,2,0
6076,2020-06-21,Hawaii,15,802,17
754,2020-03-16,Hawaii,15,10,0
3216,2020-04-30,Hawaii,15,609,16
6186,2020-06-23,Hawaii,15,807,17
1347,2020-03-27,Hawaii,15,120,0
5031,2020-06-02,Hawaii,15,643,17
861,2020-03-18,Hawaii,15,16,0
3601,2020-05-07,Hawaii,15,619,17
3381,2020-05-03,Hawaii,15,611,17
7121,2020-07-10,Hawaii,15,1139,19
3821,2020-05-11,Hawaii,15,623,17
3931,2020-05-13,Hawaii,15,627,17
3271,2020-05-01,Hawaii,15,610,16
5856,2020-06-17,Hawaii,15,732,17
1566,2020-03-31,Hawaii,15,224,1
3051,2020-04-27,Hawaii,15,600,16
3711,2020-05-09,Hawaii,15,620,17
597,2020-03-13,Hawaii,15,2,0
6681,2020-07-02,Hawaii,15,929,18
3546,2020-05-06,Hawaii,15,616,17
5801,2020-06-16,Hawaii,15,728,17
5966,2020-06-19,Hawaii,15,777,17
3106,2020-04-28,Hawaii,15,602,16
6351,2020-06-26,Hawaii,15,850,17
807,2020-03-17,Hawaii,15,14,0
6626,2020-07-01,Hawaii,15,909,18
5196,2020-06-05,Hawaii,15,653,17
2831,2020-04-23,Hawaii,15,590,12
5251,2020-06-06,Hawaii,15,661,17
1456,2020-03-29,Hawaii,15,175,0
5691,2020-06-14,Hawaii,15,716,17
356,2020-03-07,Hawaii,15,1,0
8056,2020-07-27,Hawaii,15,1688,25
5306,2020-06-07,Hawaii,15,663,17
7451,2020-07-16,Hawaii,15,1290,21
2721,2020-04-21,Hawaii,15,580,12
1896,2020-04-06,Hawaii,15,385,5
4041,2020-05-15,Hawaii,15,628,17
2611,2020-04-19,Hawaii,15,574,10
1293,2020-03-26,Hawaii,15,106,0
5581,2020-06-12,Hawaii,15,694,17
4151,2020-05-17,Hawaii,15,630,17
4206,2020-05-18,Hawaii,15,630,17
7506,2020-07-17,Hawaii,15,1312,22
4866,2020-05-30,Hawaii,15,641,17
390,2020-03-08,Hawaii,15,2,0
8331,2020-08-01,Hawaii,15,2174,25
5636,2020-06-13,Hawaii,15,711,17
7616,2020-07-19,Hawaii,15,1359,23
4811,2020-05-29,Hawaii,15,639,17
4591,2020-05-25,Hawaii,15,633,17
4096,2020-05-16,Hawaii,15,629,17
7671,2020-07-20,Hawaii,15,1371,23
8496,2020-08-04,Hawaii,15,2568,26
7946,2020-07-25,Hawaii,15,1597,25
5471,2020-06-10,Hawaii,15,673,17
4316,2020-05-20,Hawaii,15,633,17
2776,2020-04-22,Hawaii,15,586,12
5361,2020-06-08,Hawaii,15,664,17
2886,2020-04-24,Hawaii,15,595,13
2556,2020-04-18,Hawaii,15,568,9
8386,2020-08-02,Hawaii,15,2219,25
3986,2020-05-14,Hawaii,15,627,17
1131,2020-03-23,Hawaii,15,77,0
7561,2020-07-18,Hawaii,15,1332,23
7891,2020-07-24,Hawaii,15,1526,25
4371,2020-05-21,Hawaii,15,637,17
2336,2020-04-14,Hawaii,15,511,9
2226,2020-04-12,Hawaii,15,497,9
8001,2020-07-26,Hawaii,15,1660,25
4261,2020-05-19,Hawaii,15,631,17
7726,2020-07-21,Hawaii,15,1396,23
2501,2020-04-17,Hawaii,15,547,9
2171,2020-04-11,Hawaii,15,484,8
327,2020-03-06,Hawaii,15,1,0
2941,2020-04-25,Hawaii,15,597,14
8166,2020-07-29,Hawaii,15,1842,25
4756,2020-05-28,Hawaii,15,637,17
2391,2020-04-15,Hawaii,15,524,9
1951,2020-04-07,Hawaii,15,408,5
2446,2020-04-16,Hawaii,15,535,9
7341,2020-07-14,Hawaii,15,1243,21
2006,2020-04-08,Hawaii,15,433,5
969,2020-03-20,Hawaii,15,37,0
2666,2020-04-20,Hawaii,15,578,10
5416,2020-06-09,Hawaii,15,670,17
1023,2020-03-21,Hawaii,15,48,0
4701,2020-05-27,Hawaii,15,634,17
4646,2020-05-26,Hawaii,15,633,17
1401,2020-03-28,Hawaii,15,151,0
5526,2020-06-11,Hawaii,15,680,17
8441,2020-08-03,Hawaii,15,2425,25
8221,2020-07-30,Hawaii,15,1966,25
7781,2020-07-22,Hawaii,15,1413,24
5141,2020-06-04,Hawaii,15,644,17
2061,2020-04-09,Hawaii,15,440,6
8111,2020-07-28,Hawaii,15,1734,25
425,2020-03-09,Hawaii,15,2,0
2281,2020-04-13,Hawaii,15,502,9
2116,2020-04-10,Hawaii,15,463,8
7396,2020-07-15,Hawaii,15,1271,21
1077,2020-03-22,Hawaii,15,56,0
7836,2020-07-23,Hawaii,15,1468,25
8276,2020-07-31,Hawaii,15,2088,25
1511,2020-03-30,Hawaii,15,204,0
5087,2020-06-03,Idaho,16,2990,83
4372,2020-05-21,Idaho,16,2534,77
598,2020-03-13,Idaho,16,1,0
7947,2020-07-25,Idaho,16,17920,150
2062,2020-04-09,Idaho,16,1366,24
7837,2020-07-23,Idaho,16,16862,142
2282,2020-04-13,Idaho,16,1499,33
6847,2020-07-05,Idaho,16,7799,94
6462,2020-06-28,Idaho,16,5543,91
1186,2020-03-24,Idaho,16,73,0
3877,2020-05-12,Idaho,16,2294,69
1024,2020-03-21,Idaho,16,42,0
2612,2020-04-19,Idaho,16,1672,45
3547,2020-05-06,Idaho,16,2158,67
3272,2020-05-01,Idaho,16,2035,63
8387,2020-08-02,Idaho,16,21465,197
4152,2020-05-17,Idaho,16,2421,73
7892,2020-07-24,Idaho,16,17411,148
6902,2020-07-06,Idaho,16,8222,94
6957,2020-07-07,Idaho,16,8582,94
4702,2020-05-27,Idaho,16,2731,82
1952,2020-04-07,Idaho,16,1210,15
2667,2020-04-20,Idaho,16,1736,48
4482,2020-05-23,Idaho,16,2626,79
1677,2020-04-02,Idaho,16,891,9
6132,2020-06-22,Idaho,16,4267,90
1567,2020-03-31,Idaho,16,526,9
4757,2020-05-28,Idaho,16,2770,82
4977,2020-06-01,Idaho,16,2908,83
3822,2020-05-11,Idaho,16,2261,69
3382,2020-05-03,Idaho,16,2059,64
8112,2020-07-28,Idaho,16,19318,168
8277,2020-07-31,Idaho,16,20853,193
6572,2020-06-30,Idaho,16,6124,92
2392,2020-04-15,Idaho,16,1587,41
5417,2020-06-09,Idaho,16,3226,85
8222,2020-07-30,Idaho,16,20378,180
3437,2020-05-04,Idaho,16,2106,64
4647,2020-05-26,Idaho,16,2699,81
8167,2020-07-29,Idaho,16,19810,176
6077,2020-06-21,Idaho,16,4025,90
6627,2020-07-01,Idaho,16,6379,92
2007,2020-04-08,Idaho,16,1232,19
862,2020-03-18,Idaho,16,11,0
2447,2020-04-16,Idaho,16,1609,41
6682,2020-07-02,Idaho,16,6688,93
1078,2020-03-22,Idaho,16,47,0
2117,2020-04-10,Idaho,16,1425,25
2337,2020-04-14,Idaho,16,1538,39
3327,2020-05-02,Idaho,16,2061,64
8002,2020-07-26,Idaho,16,18262,150
2557,2020-04-18,Idaho,16,1668,44
6792,2020-07-04,Idaho,16,7431,94
6517,2020-06-29,Idaho,16,5770,91
4427,2020-05-22,Idaho,16,2595,79
5362,2020-06-08,Idaho,16,3197,83
5967,2020-06-19,Idaho,16,3871,90
4812,2020-05-29,Idaho,16,2804,82
5472,2020-06-10,Idaho,16,3262,85
6022,2020-06-20,Idaho,16,4006,90
4262,2020-05-19,Idaho,16,2476,77
1457,2020-03-29,Idaho,16,310,6
649,2020-03-14,Idaho,16,5,0
2502,2020-04-17,Idaho,16,1655,43
702,2020-03-15,Idaho,16,5,0
4207,2020-05-18,Idaho,16,2455,74
1732,2020-04-03,Idaho,16,1012,10
8057,2020-07-27,Idaho,16,18836,159
3492,2020-05-05,Idaho,16,2127,66
6737,2020-07-03,Idaho,16,7034,94
3767,2020-05-10,Idaho,16,2232,67
8332,2020-08-01,Idaho,16,21231,197
3987,2020-05-14,Idaho,16,2352,72
1348,2020-03-27,Idaho,16,232,4
916,2020-03-19,Idaho,16,23,0
5252,2020-06-06,Idaho,16,3139,83
2832,2020-04-23,Idaho,16,1836,54
5692,2020-06-14,Idaho,16,3413,88
7507,2020-07-17,Idaho,16,13879,119
4042,2020-05-15,Idaho,16,2389,73
7177,2020-07-11,Idaho,16,10584,102
1897,2020-04-06,Idaho,16,1170,13
6297,2020-06-25,Idaho,16,4869,91
4922,2020-05-31,Idaho,16,2855,82
3712,2020-05-09,Idaho,16,2230,67
4537,2020-05-24,Idaho,16,2650,79
6352,2020-06-26,Idaho,16,5149,91
7617,2020-07-19,Idaho,16,14960,120
5637,2020-06-13,Idaho,16,3399,87
7122,2020-07-10,Idaho,16,10073,101
3932,2020-05-13,Idaho,16,2325,69
5857,2020-06-17,Idaho,16,3634,89
3107,2020-04-28,Idaho,16,1952,60
2172,2020-04-11,Idaho,16,1438,27
2777,2020-04-22,Idaho,16,1802,54
7452,2020-07-16,Idaho,16,13261,114
2887,2020-04-24,Idaho,16,1870,54
7342,2020-07-14,Idaho,16,11962,103
970,2020-03-20,Idaho,16,31,0
7287,2020-07-13,Idaho,16,11531,102
5747,2020-06-15,Idaho,16,3472,89
1240,2020-03-25,Idaho,16,123,0
6242,2020-06-24,Idaho,16,4650,91
1622,2020-04-01,Idaho,16,669,9
1842,2020-04-05,Idaho,16,1100,10
2997,2020-04-26,Idaho,16,1897,56
2942,2020-04-25,Idaho,16,1887,56
3052,2020-04-27,Idaho,16,1917,58
1512,2020-03-30,Idaho,16,415,7
1294,2020-03-26,Idaho,16,189,3
7397,2020-07-15,Idaho,16,12599,111
7232,2020-07-12,Idaho,16,10971,102
3657,2020-05-08,Idaho,16,2205,67
5142,2020-06-04,Idaho,16,3054,83
5802,2020-06-16,Idaho,16,3543,89
7067,2020-07-09,Idaho,16,9598,101
7562,2020-07-18,Idaho,16,14433,120
3162,2020-04-29,Idaho,16,1984,60
4097,2020-05-16,Idaho,16,2419,73
7672,2020-07-20,Idaho,16,15380,123
6187,2020-06-23,Idaho,16,4412,90
2227,2020-04-12,Idaho,16,1457,27
5582,2020-06-12,Idaho,16,3354,87
1787,2020-04-04,Idaho,16,1076,10
7782,2020-07-22,Idaho,16,16395,136
5032,2020-06-02,Idaho,16,2935,83
4867,2020-05-30,Idaho,16,2840,82
5307,2020-06-07,Idaho,16,3153,83
5912,2020-06-18,Idaho,16,3744,90
7012,2020-07-08,Idaho,16,9004,98
808,2020-03-17,Idaho,16,9,0
2722,2020-04-21,Idaho,16,1766,51
7727,2020-07-21,Idaho,16,15899,127
6407,2020-06-27,Idaho,16,5319,92
755,2020-03-16,Idaho,16,5,0
5197,2020-06-05,Idaho,16,3111,83
8442,2020-08-03,Idaho,16,21838,202
8497,2020-08-04,Idaho,16,22357,214
4317,2020-05-20,Idaho,16,2506,77
1402,2020-03-28,Idaho,16,262,5
4592,2020-05-25,Idaho,16,2664,79
3217,2020-04-30,Idaho,16,2016,63
3602,2020-05-07,Idaho,16,2178,67
5527,2020-06-11,Idaho,16,3303,86
1132,2020-03-23,Idaho,16,50,0
155,2020-02-20,Illinois,17,2,0
1403,2020-03-28,Illinois,17,3547,50
163,2020-02-21,Illinois,17,2,0
5308,2020-06-07,Illinois,17,128070,5939
3658,2020-05-08,Illinois,17,73688,3262
6243,2020-06-24,Illinois,17,140025,6986
8223,2020-07-30,Illinois,17,178832,7677
1295,2020-03-26,Illinois,17,2538,26
147,2020-02-19,Illinois,17,2,0
3768,2020-05-10,Illinois,17,77662,3426
3548,2020-05-06,Illinois,17,68164,2977
6408,2020-06-27,Illinois,17,142536,7083
8443,2020-08-03,Illinois,17,185238,7728
6078,2020-06-21,Illinois,17,138154,6865
2393,2020-04-15,Illinois,17,24593,958
1623,2020-04-01,Illinois,17,6978,146
1187,2020-03-24,Illinois,17,1535,16
171,2020-02-22,Illinois,17,2,0
6573,2020-06-30,Illinois,17,144661,7136
4703,2020-05-27,Illinois,17,114612,5118
6188,2020-06-23,Illinois,17,139282,6925
4483,2020-05-23,Illinois,17,108100,4817
6133,2020-06-22,Illinois,17,138615,6889
1678,2020-04-02,Illinois,17,7695,165
1079,2020-03-22,Illinois,17,1047,9
4263,2020-05-19,Illinois,17,98298,4399
2338,2020-04-14,Illinois,17,23247,878
117,2020-02-15,Illinois,17,2,0
809,2020-03-17,Illinois,17,159,1
2063,2020-04-09,Illinois,17,16422,534
8498,2020-08-04,Illinois,17,186598,7747
6518,2020-06-29,Illinois,17,143885,7115
6353,2020-06-26,Illinois,17,141812,7059
5363,2020-06-08,Illinois,17,129543,6142
131,2020-02-17,Illinois,17,2,0
3603,2020-05-07,Illinois,17,70802,3139
124,2020-02-16,Illinois,17,2,0
3713,2020-05-09,Illinois,17,76008,3362
4318,2020-05-20,Illinois,17,100713,4547
5033,2020-06-02,Illinois,17,123244,5567
2283,2020-04-13,Illinois,17,22025,800
8278,2020-07-31,Illinois,17,180701,7703
756,2020-03-16,Illinois,17,104,0
6463,2020-06-28,Illinois,17,143117,7098
6298,2020-06-25,Illinois,17,140935,7024
2173,2020-04-11,Illinois,17,19180,682
703,2020-03-15,Illinois,17,94,0
139,2020-02-18,Illinois,17,2,0
8388,2020-08-02,Illinois,17,183714,7718
3493,2020-05-05,Illinois,17,65889,2843
5253,2020-06-06,Illinois,17,127251,5898
2228,2020-04-12,Illinois,17,20852,727
8333,2020-08-01,Illinois,17,182232,7707
179,2020-02-23,Illinois,17,2,0
1458,2020-03-29,Illinois,17,4615,71
4648,2020-05-26,Illinois,17,113486,4960
2723,2020-04-21,Illinois,17,33059,1479
7013,2020-07-08,Illinois,17,151055,7315
4868,2020-05-30,Illinois,17,119290,5368
357,2020-03-07,Illinois,17,6,0
550,2020-03-12,Illinois,17,32,0
5583,2020-06-12,Illinois,17,132489,6469
3163,2020-04-29,Illinois,17,50355,2221
4098,2020-05-16,Illinois,17,92669,4149
7673,2020-07-20,Illinois,17,164552,7500
1133,2020-03-23,Illinois,17,1285,12
4593,2020-05-25,Illinois,17,112248,4912
7068,2020-07-09,Illinois,17,152188,7333
4538,2020-05-24,Illinois,17,110541,4884
5858,2020-06-17,Illinois,17,135416,6687
5913,2020-06-18,Illinois,17,136081,6737
2778,2020-04-22,Illinois,17,35108,1577
6903,2020-07-06,Illinois,17,149428,7250
1025,2020-03-21,Illinois,17,751,6
1953,2020-04-07,Illinois,17,13549,384
6958,2020-07-07,Illinois,17,150110,7281
3878,2020-05-12,Illinois,17,83168,3617
2668,2020-04-20,Illinois,17,31508,1359
